genres,neg,neu,pos,compound,cluster,PCA1,PCA2
action,0.147,0.649,0.204,1.0,0,-0.244531927358136,0.2250092040151261
adult,0.13,0.666,0.204,0.999,1,-0.9004416566523911,4.82749287696639
adventure,0.167,0.649,0.184,1.0,3,-1.795485259724877,-0.821244420111452
animation,0.157,0.643,0.199,1.0,18,-0.5497925841789181,-0.49640839928148706
biography,0.171,0.63,0.199,1.0,10,-0.47445360965758526,-1.6405881394704451
comedy,0.159,0.638,0.204,1.0,22,-0.1858052318675649,-0.750324858547103
crime,0.148,0.649,0.203,1.0,0,-0.3220795939764719,0.1726965228087976
documentary,0.142,0.62,0.238,1.0,8,2.6329667836113666,-0.44462196055726194
drama,0.162,0.644,0.194,1.0,14,-0.978477895964602,-0.720231802114986
family,0.135,0.637,0.228,1.0,2,1.716285745666523,0.46743948720664513
fantasy,0.152,0.631,0.217,1.0,17,0.9130982499571004,-0.6145370389431596
film-noir,0.124,0.653,0.224,1.0,7,1.2405560077684645,1.5622713477799433
history,0.17,0.646,0.185,1.0,20,-1.725660013739015,-1.0688830909604363
horror,0.16,0.637,0.202,1.0,6,-0.267312747231622,-0.8460073885426874
music,0.133,0.631,0.235,1.0,15,2.3415970882657837,0.3737740583859792
musical,0.15,0.626,0.224,1.0,4,1.4974626138623641,-0.6704624645656796
mystery,0.158,0.656,0.186,1.0,13,-1.698532903095868,-0.12565918600524262
romance,0.159,0.636,0.205,1.0,21,-0.05900444703984871,-0.820175019352284
sci-fi,0.149,0.659,0.191,1.0,9,-1.3030721493717075,0.4358555720817148
short,0.141,0.642,0.217,1.0,12,0.821730715287912,0.3141141880038508
sport,0.131,0.64,0.229,1.0,16,1.7689149937387176,0.7730206848530679
thriller,0.147,0.653,0.201,1.0,19,-0.5430403244532868,0.3590796800343789
war,0.163,0.625,0.212,1.0,11,0.5751967539576999,-1.382637477854992
western,0.149,0.673,0.178,1.0,5,-2.4601186078040387,0.8910276241713234
